sample,timestamp,target,http_code,latency_ms,persisted
1,2026-01-06T20:18:00Z,A8_events,200,92,true
2,2026-01-06T20:18:01Z,A8_events,200,124,true
3,2026-01-06T20:18:02Z,A8_events,200,125,true
4,2026-01-06T20:18:03Z,A8_events,200,119,true
5,2026-01-06T20:18:04Z,A8_events,200,103,true
6,2026-01-06T20:18:05Z,A8_events,200,101,true
7,2026-01-06T20:18:06Z,A8_events,200,140,true
8,2026-01-06T20:18:07Z,A8_events,200,103,true
9,2026-01-06T20:18:08Z,A8_events,200,93,true
10,2026-01-06T20:18:09Z,A8_events,200,110,true
